d, 340
3, 990
c, 480
f, 340
b, 270
h, 640
9, 260
8, 490
i, 530
7, 390
g, 850
c, 630
e, 550
9, 630
c, 360
d, 790
2, 270
h, 530
9, 370
8, 270
a, 180
9, 420
3, 450
f, 270
4, 580
7, 830
1, 760
e, 450
9, 260
10, 150
i, 790
c, 380
3, 870
b, 150
d, 950
2, 860
1, 160
6, 730
d, 740
8, 520
2, 640
1, 590
c, 460
9, 920
i, 460
d, 230
c, 150
9, 820
7, 990
c, 930
c, 380
d, 690
g, 890
9, 970
7, 180
6, 480
7, 740
1, 880
f, 540
4, 790
e, 860
h, 410
1, 390
h, 740
g, 730
2, 430
9, 360
f, 520
e, 720
i, 660
g, 660
h, 440
4, 270
7, 920
c, 390
1, 560
h, 320
e, 380
d, 550
d, 820
5, 260
9, 730
g, 590
1, 250
6, 460
c, 620
3, 180
5, 950
a, 530
i, 240
10, 290
7, 540
2, 210
9, 110
9, 490
3, 160
d, 690
d, 730
d, 390
j, 230
