b, 610, 1345
3, 280, 1320
a, 450, 1361
1, 920, 1117
c, 110, 1525
e, 210, 1213
b, 110, 1360
g, 280, 1439
3, 960, 1227
c, 230, 1230
9, 660, 1231
4, 790, 1149
f, 380, 1154
4, 220, 1247
a, 430, 1638
h, 850, 1222
5, 390, 1251
9, 490, 1358
8, 670, 146
3, 690, 1160
d, 660, 1514
10, 250, 1427
8, 370, 1131
h, 360, 1331
10, 970, 1458
j, 440, 161
2, 610, 1142
6, 430, 1244
a, 680, 1321
c, 130, 1238
8, 310, 1652
7, 570, 1431
9, 160, 1126
4, 340, 1616
1, 980, 1249
f, 820, 1538
f, 840, 111
a, 650, 1622
5, 870, 1122
10, 380, 146
7, 870, 1349
b, 540, 1357
6, 510, 1517
a, 550, 1537
b, 590, 1411
9, 190, 1127
e, 490, 1316
c, 520, 1144
3, 450, 1450
2, 910, 1514
5, 370, 1239
8, 930, 1310
c, 140, 1644
8, 550, 1644
e, 750, 1530
8, 960, 1435
i, 550, 1541
7, 180, 1523
g, 110, 1561
c, 290, 1230
7, 620, 119
h, 650, 1125
2, 880, 1125
f, 990, 1351
g, 240, 1553
7, 520, 1251
e, 130, 1134
3, 310, 1512
j, 490, 1625
d, 940, 1657
1, 590, 1623
8, 690, 1628
g, 490, 1539
3, 650, 1225
5, 880, 1217
j, 560, 1314
e, 120, 138
7, 530, 1653
i, 910, 1339
g, 590, 1341
h, 140, 142
f, 880, 1334
h, 530, 1454
1, 560, 1621
c, 430, 1353
5, 830, 1656
h, 380, 1342
a, 940, 1525
9, 560, 1344
1, 510, 1549
i, 360, 1135
8, 560, 1520
e, 440, 1444
g, 620, 157
g, 560, 1117
6, 350, 1527
8, 950, 156
g, 750, 1326
9, 650, 1151
5, 870, 1535
