7, 580, 1126
j, 440, 1418
5, 370, 1533
g, 390, 145
7, 370, 1637
10, 380, 1331
3, 910, 1429
f, 640, 166
d, 520, 133
3, 570, 1234
a, 340, 111
d, 650, 1533
5, 150, 1259
i, 330, 146
4, 830, 1519
a, 820, 1112
5, 870, 139
d, 140, 1312
c, 790, 1520
c, 790, 118
f, 990, 1215
d, 630, 1547
g, 650, 1661
c, 930, 1211
j, 290, 1229
6, 450, 1440
1, 240, 1212
h, 920, 116
7, 120, 1656
d, 830, 1211
6, 350, 116
c, 480, 1145
j, 850, 1222
c, 860, 1653
10, 420, 1527
a, 280, 1518
2, 190, 1615
7, 990, 1452
a, 170, 1258
f, 850, 1347
1, 210, 1358
4, 220, 1451
d, 870, 1456
f, 550, 1149
i, 390, 1219
10, 760, 155
d, 660, 1240
f, 370, 1243
4, 690, 1652
3, 280, 1247
2, 780, 1314
f, 740, 1540
d, 120, 1248
g, 770, 1140
g, 210, 1237
4, 810, 1334
c, 780, 1538
c, 950, 1211
7, 970, 1352
f, 280, 1124
b, 260, 1513
2, 670, 1131
g, 740, 1133
4, 440, 1346
8, 380, 1521
d, 380, 1154
g, 170, 1457
2, 920, 1137
5, 270, 1533
10, 150, 142
7, 850, 1557
b, 940, 1446
2, 220, 1618
5, 140, 1522
3, 240, 1332
10, 270, 1223
b, 110, 125
i, 840, 1557
j, 270, 1330
9, 370, 1132
h, 460, 134
5, 150, 1426
5, 540, 1225
c, 970, 134
10, 430, 1456
j, 720, 1553
f, 710, 141
3, 310, 1238
i, 290, 1641
c, 430, 1116
1, 310, 1619
c, 390, 1128
g, 570, 1226
c, 320, 1315
2, 710, 1144
4, 520, 1322
h, 640, 1123
7, 280, 1548
2, 210, 1347
h, 250, 1649
